# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\amgui\Dropbox\Projects\FPGA\DE1 Template\DE1 Pin Assignments.csv
# Generated on: Sat Nov 05 11:35:30 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair
GPIO_0[0],Unknown,PIN_A13,4,B4_N1,,,,
GPIO_0[1],Unknown,PIN_B13,4,B4_N1,,,,
GPIO_0[2],Unknown,PIN_A14,4,B4_N1,,,,
GPIO_0[3],Unknown,PIN_B14,4,B4_N1,,,,
GPIO_0[4],Unknown,PIN_A15,4,B4_N1,,,,
GPIO_0[5],Unknown,PIN_B15,4,B4_N1,,,,
GPIO_0[6],Unknown,PIN_A16,4,B4_N1,,,,
GPIO_0[7],Unknown,PIN_B16,4,B4_N1,,,,
GPIO_0[8],Unknown,PIN_A17,4,B4_N1,,,,
GPIO_0[9],Unknown,PIN_B17,4,B4_N1,,,,
GPIO_0[10],Unknown,PIN_A18,4,B4_N0,,,,
GPIO_0[11],Unknown,PIN_B18,4,B4_N0,,,,
GPIO_0[12],Unknown,PIN_A19,4,B4_N0,,,,
GPIO_0[13],Unknown,PIN_B19,4,B4_N0,,,,
GPIO_0[14],Unknown,PIN_A20,4,B4_N0,,,,
GPIO_0[15],Unknown,PIN_B20,4,B4_N0,,,,
GPIO_0[16],Unknown,PIN_C21,5,B5_N0,,,,
GPIO_0[17],Unknown,PIN_C22,5,B5_N0,,,,
GPIO_0[18],Unknown,PIN_D21,5,B5_N0,,,,
GPIO_0[19],Unknown,PIN_D22,5,B5_N0,,,,
GPIO_0[20],Unknown,PIN_E21,5,B5_N0,,,,
GPIO_0[21],Unknown,PIN_E22,5,B5_N0,,,,
GPIO_0[22],Unknown,PIN_F21,5,B5_N0,,,,
GPIO_0[23],Unknown,PIN_F22,5,B5_N0,,,,
GPIO_0[24],Unknown,PIN_G21,5,B5_N1,,,,
GPIO_0[25],Unknown,PIN_G22,5,B5_N1,,,,
GPIO_0[26],Unknown,PIN_J21,5,B5_N1,,,,
GPIO_0[27],Unknown,PIN_J22,5,B5_N1,,,,
GPIO_0[28],Unknown,PIN_K21,5,B5_N1,,,,
GPIO_0[29],Unknown,PIN_K22,5,B5_N1,,,,
GPIO_0[30],Unknown,PIN_J19,5,B5_N1,,,,
GPIO_0[31],Unknown,PIN_J20,5,B5_N1,,,,
GPIO_0[32],Unknown,PIN_J18,5,B5_N1,,,,
GPIO_0[33],Unknown,PIN_K20,5,B5_N1,,,,
GPIO_0[34],Unknown,PIN_L19,5,B5_N1,,,,
GPIO_0[35],Unknown,PIN_L18,5,B5_N1,,,,
GPIO_1[0],Unknown,PIN_H12,4,B4_N1,,,,
GPIO_1[1],Unknown,PIN_H13,4,B4_N1,,,,
GPIO_1[2],Unknown,PIN_H14,4,B4_N0,,,,
GPIO_1[3],Unknown,PIN_G15,4,B4_N0,,,,
GPIO_1[4],Unknown,PIN_E14,4,B4_N1,,,,
GPIO_1[5],Unknown,PIN_E15,4,B4_N0,,,,
GPIO_1[6],Unknown,PIN_F15,4,B4_N0,,,,
GPIO_1[7],Unknown,PIN_G16,4,B4_N0,,,,
GPIO_1[8],Unknown,PIN_F12,4,B4_N1,,,,
GPIO_1[9],Unknown,PIN_F13,4,B4_N1,,,,
GPIO_1[10],Unknown,PIN_C14,4,B4_N0,,,,
GPIO_1[11],Unknown,PIN_D14,4,B4_N1,,,,
GPIO_1[12],Unknown,PIN_D15,4,B4_N0,,,,
GPIO_1[13],Unknown,PIN_D16,4,B4_N0,,,,
GPIO_1[14],Unknown,PIN_C17,4,B4_N0,,,,
GPIO_1[15],Unknown,PIN_C18,4,B4_N0,,,,
GPIO_1[16],Unknown,PIN_C19,5,B5_N0,,,,
GPIO_1[17],Unknown,PIN_C20,5,B5_N0,,,,
GPIO_1[18],Unknown,PIN_D19,5,B5_N0,,,,
GPIO_1[19],Unknown,PIN_D20,5,B5_N0,,,,
GPIO_1[20],Unknown,PIN_E20,5,B5_N0,,,,
GPIO_1[21],Unknown,PIN_F20,5,B5_N0,,,,
GPIO_1[22],Unknown,PIN_E19,5,B5_N0,,,,
GPIO_1[23],Unknown,PIN_E18,5,B5_N0,,,,
GPIO_1[24],Unknown,PIN_G20,5,B5_N0,,,,
GPIO_1[25],Unknown,PIN_G18,5,B5_N0,,,,
GPIO_1[26],Unknown,PIN_G17,5,B5_N0,,,,
GPIO_1[27],Unknown,PIN_H17,5,B5_N0,,,,
GPIO_1[28],Unknown,PIN_J15,5,B5_N1,,,,
GPIO_1[29],Unknown,PIN_H18,5,B5_N0,,,,
GPIO_1[30],Unknown,PIN_N22,6,B6_N0,,,,
GPIO_1[31],Unknown,PIN_N21,6,B6_N0,,,,
GPIO_1[32],Unknown,PIN_P15,6,B6_N0,,,,
GPIO_1[33],Unknown,PIN_N15,6,B6_N0,,,,
GPIO_1[34],Unknown,PIN_P17,6,B6_N0,,,,
GPIO_1[35],Unknown,PIN_P18,6,B6_N0,,,,
SW[0],Unknown,PIN_L22,5,B5_N1,,,,
SW[1],Unknown,PIN_L21,5,B5_N1,,,,
SW[2],Unknown,PIN_M22,6,B6_N0,,,,
SW[3],Unknown,PIN_V12,7,B7_N1,,,,
SW[4],Unknown,PIN_W12,7,B7_N1,,,,
SW[5],Unknown,PIN_U12,8,B8_N0,,,,
SW[6],Unknown,PIN_U11,8,B8_N0,,,,
SW[7],Unknown,PIN_M2,1,B1_N0,,,,
SW[8],Unknown,PIN_M1,1,B1_N0,,,,
SW[9],Unknown,PIN_L2,2,B2_N1,,,,
HEX0[0],Unknown,PIN_J2,2,B2_N1,,,,
HEX0[1],Unknown,PIN_J1,2,B2_N1,,,,
HEX0[2],Unknown,PIN_H2,2,B2_N1,,,,
HEX0[3],Unknown,PIN_H1,2,B2_N1,,,,
HEX0[4],Unknown,PIN_F2,2,B2_N1,,,,
HEX0[5],Unknown,PIN_F1,2,B2_N1,,,,
HEX0[6],Unknown,PIN_E2,2,B2_N1,,,,
HEX1[0],Unknown,PIN_E1,2,B2_N1,,,,
HEX1[1],Unknown,PIN_H6,2,B2_N0,,,,
HEX1[2],Unknown,PIN_H5,2,B2_N0,,,,
HEX1[3],Unknown,PIN_H4,2,B2_N0,,,,
HEX1[4],Unknown,PIN_G3,2,B2_N0,,,,
HEX1[5],Unknown,PIN_D2,2,B2_N0,,,,
HEX1[6],Unknown,PIN_D1,2,B2_N0,,,,
HEX2[0],Unknown,PIN_G5,2,B2_N0,,,,
HEX2[1],Unknown,PIN_G6,2,B2_N0,,,,
HEX2[2],Unknown,PIN_C2,2,B2_N0,,,,
HEX2[3],Unknown,PIN_C1,2,B2_N0,,,,
HEX2[4],Unknown,PIN_E3,2,B2_N0,,,,
HEX2[5],Unknown,PIN_E4,2,B2_N0,,,,
HEX2[6],Unknown,PIN_D3,2,B2_N0,,,,
HEX3[0],Unknown,PIN_F4,2,B2_N0,,,,
HEX3[1],Unknown,PIN_D5,2,B2_N0,,,,
HEX3[2],Unknown,PIN_D6,2,B2_N0,,,,
HEX3[3],Unknown,PIN_J4,2,B2_N1,,,,
HEX3[4],Unknown,PIN_L8,2,B2_N1,,,,
HEX3[5],Unknown,PIN_F3,2,B2_N0,,,,
HEX3[6],Unknown,PIN_D4,2,B2_N0,,,,
KEY[0],Unknown,PIN_R22,6,B6_N0,,,,
KEY[1],Unknown,PIN_R21,6,B6_N0,,,,
KEY[2],Unknown,PIN_T22,6,B6_N0,,,,
KEY[3],Unknown,PIN_T21,6,B6_N0,,,,
LEDR[0],Unknown,PIN_R20,6,B6_N0,,,,
LEDR[1],Unknown,PIN_R19,6,B6_N0,,,,
LEDR[2],Unknown,PIN_U19,6,B6_N1,,,,
LEDR[3],Unknown,PIN_Y19,6,B6_N1,,,,
LEDR[4],Unknown,PIN_T18,6,B6_N1,,,,
LEDR[5],Unknown,PIN_V19,6,B6_N1,,,,
LEDR[6],Unknown,PIN_Y18,6,B6_N1,,,,
LEDR[7],Unknown,PIN_U18,6,B6_N1,,,,
